Collection Name,Title#1,Subtitle#1,Name Display Form#1,Name Role Term Text#1,Name Display Form#2,Name Role Term Text#2,Type of Resource#1,Date Created#1,Date Created Encoding#1,Date Captured#1,Date Created#2,Date Created Encoding#2,Language Term#1,Language Term#2,Form#1,Form Authority#1,Form Type#1,Digital Origin#1,Abstract#1,Note#1,Subject Topic#1,Subject Authority#1,Subject Geographic#1,Subject Geographic Authority#1,Subject Temporal#1,Subject Temporal Authority#1,Subject Name#1,Subject Topic#2,Subject Authority#2,Subject Geographic#2,Subject Geographic Authority#2,Subject Temporal#2,Subject Temporal Authority#2,Subject Name#2,Subject Geographic Code#2,Subject Topic#3,Subject Authority#3,Subject Geographic#3,Subject Geographic Authority#3,Subject Temporal#3,Subject Temporal Authority#3,Subject Name#3,Related Item#1,Related Item Type#1,Related Item Identifier#1,Identifier#1,Physical Location#1,Physical Location Type#1,Access Condition,Scanning technician#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
Don Campbell Papers,Letter: Elinor Remick Warren to Don Campbell.,,"Warren, Elinor Remick, 1900-1991",author,,,text,6/5/1987,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Elinor Remick Warren thanks and praises Don Campbell for his wonderful biography of Boulanger. She expresses regret that she was unaware that he was writing it, for she would have been able to provide more extensive information on Nadia due to having studied with her (starting in 1959).",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_010,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540565,,amrc_campbell_1_2.pdf
Don Campbell Papers,Letter: Jennifer Evans to Don Campbell,,"Evans, Jennifer",author,,,text,6/16/1994,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Evans informs Campbell that the Longy School's annual Nadia Boulanger Concert will be on Sept. 17 and will include works by Walter Piston, Daniel Pinkham (both former students of Boulanger), and Debussy's Afternoon of a Faun.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_011,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540577,,amrc_campbell_1_2_doc9_001.pdf
Don Campbell Papers,Letter: Lena Tomatis to Don Campbell,,"Tomatis, Lena",author,,,text,2/17/1995,iso8601,,,,French,,letters (correspondence),aat,material,reformatted digital,"Tomatis thanks Campbell for his letter of Feb. 3 and expresses confidence that his work will continue to be fruitful. Tomatis assures Campbell that the group of students that he is bringing to France will be met with enthusiasm and that a member of their organization will be available to be of service to them. Tomatis also informes Campell of a contact at Solesmes who is knowledgeable of Gregorian chant and would be useful in Campbell's study of sound. Tomatis also expresses excitement with Campbell's projects, stating that their group too pursues a variety of researches into the effect of sound on the human organism.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_012,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540589,,amrc_campbell_1_2_doc10.pdf
Don Campbell Papers,Note: Jacqueline Englert-Marchal to Don Cambell (?).,,"Englert-Marchal, Jacqueline",author,,,text,,,,,,English,,,,,reformatted digital,The author (Jacqueline Englert-Marchal) thanks Campell for a photo of her father with Boulanger. The author also notes that a dialogue between Boulanger and Leonard Bernstein had been broadcast on French radio the previous fall.,TEST Jane Z 29 May 2015,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Marchal, André, 1894-1980",,,,,,,,,,,,,,,,,,,Campbell01_02_013,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540601,,amrc_campbell_1_2.pdf
Don Campbell Papers,Letter: Don Campbell to Father Daniel Saulnier of the Abbaye Saint Pierre de Solesmes,,"Campbell, Don G., 1946-",author,,,text,4/14/1995,iso8601,,,,English,French,letters (correspondence),aat,material,reformatted digital,"This item is two copies of the same letter from Don Campbell to Frere Daniel Saulnier (one copy is in French, the other English). Campbell states that he will be bringing a group of students to Solemnes and requests that one of the monks might show them around and speak to them about chant. He mentions that he studied with Nadia Boulanger for two years in Paris.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_014,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540612,,amrc_campbell_1_2.pdf
Don Campbell Papers,Handwritten Letter: Lena Tomatis to Don Campbell,,"Tomatis, Lena",author,,,text,5/29/1995,iso8601,,,,French,,letters (correspondence),aat,material,reformatted digital,Tomatis invites Campbell for dinner and discussion the following July 17.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_015,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540624,,amrc_campbell_1_2.pdf
Don Campbell Papers,E-mail forward: Account of the calming effect of Mozart's music on a child.,,"Henderson, Michelle",author,,,text,3/31/1999,iso8601,,,,English,French,electronic mail,aat,material,reformatted digital,Account of the calming effect of Mozart's music on a child.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_016,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540636,,amrc_campbell_1_2_doc14.pdf
Don Campbell Papers,E-mail: Susan Martin to Don Campbell,,"Martin, Susan",author,,,text,4/12/1999,iso8601,,,,English,,electronic mail,aat,material,reformatted digital,Susan Martin thanks Campbell for letting her know about his biography of Boulanger. She requests a copy.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_017,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540648,,amrc_campbell_1_2_doc15.pdf
Don Campbell Papers,E-mail: Rosemary N. Killam to Don Campbell,,"Killam, Rosemary N.",author,,,text,4/19/1999,iso8601,,,,English,,electronic mail,aat,material,reformatted digital,"Prof. Killam (University of North Texas) requests information about some materials, methods, and items used by Campbell in his book on Boulanger. These include: Nadia's ring in a picture; uncatalogued materials at the Longy School; and a Wisconsin convent visited by Boulanger.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_018,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540660,,amrc_campbell_1_2_doc15.pdf
Don Campbell Papers,E-mail: Catherine Massip to Don Campbell,,"Massip, Catherine",author,,,text,2/9/2001,iso8601,,,,English,,electronic mail,aat,material,reformatted digital,Catherine Massip of the Bibliothèque du CNSMD de Lyon informs Campbell that he is welcome at the library.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_020,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540672,,amrc_campbell_1_2_doc16_001.pdf
Don Campbell Papers,Letter: Victor Rosenbaum to Don Campbell,,"Rosenbaum, Victor",author,,,text,6/19/2001,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,Victor Rosenbaum of the Longy School of Music thanks Don Campbell for sending his book The Mozart Effect on Children. Rosenbaum also wishes to commemorate the 25th anniversary of Boulanger's death and asks Campell to consider donating money for his research on the effects of music on children.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_021,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540684,,amrc_campbell_1_2.pdf
Don Campbell Papers,Letter: Don Campbell to Alexandra Laederich,,"Campbell, Don G., 1946-",author,,,text,7/25/2001,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"In this letter to Alexandra Laederich, Secretary to the Fondation Internationale Nadia et Lili Boulanger, Don Campbell expresses hope that the Foundation will be able to help him with a 2004 conference on Nadia Boulanger by the American Music Research Center in Boulder, Colorado. Included is a document that summarizes nature of the Nadia and Lili Boulanger Internationale Foundation.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_022,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540696,,amrc_campbell_1_2_doc18.pdf
Don Campbell Papers,E-mail list of names,,"Hakim, Naji, 1955-",author,,,text,9/12/2001,iso8601,,,,English,,electronic mail,aat,material,reformatted digital,This is a list of e-mail addresses to which Naji Hakim sent a message.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_023,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540708,,amrc_campbell_1_2_doc19_email_001.pdf
Don Campbell Papers,Letter: Thomas L. Riis to Frederick Swann,,"Riis, Thomas Laurence",author,,,text,10/11/2001,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,Thomas L. Riis notifies Frederick Swann of the intentions of the American Research Center in Boulder Colorado to put on a conference/festival in October 2004 to commemorate the 25th anniversary of Nadia Boulanger's death. Riis also expresses support of other similar activities throughout that year and mentions that Don Campbell had initiated efforts to establish a permanent home for yet unarchived Boulanger materials in America. These were to be housed on the campus of the University of Colorado Boulder.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_024,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540720,,amrc_campbell_1_2_doc20.pdf
Don Campbell Papers,Letter: Frederick Swann to Don Campbell,,"Swann, Frederick",author,,,text,10/16/2001,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Swann thanks Campbell for his assistance in funding the commission of new music by a Boulanger student (David Conte) as a new music part of the AGO's 2004 National Convention. He also informs Campbell of protocol and process regarding approval of the convention's proposed procedings, to which Campbell presumably is contributing ideas.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,American Guild of Organists,,,,,,,,,,,,,,,,,,,Campbell01_02_025,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540732,,amrc_campbell_1_2_doc21.pdf
Don Campbell Papers,Letter: Thomas L. Riis to Alice Rucker,,"Riis, Thomas Laurence",author,,,text,12/9/2002,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Riis informs Alice Rucker, Treasurer of the American Guild of Organists, of the nature of a $1000 donation from the American Music Research Center to the Guild. The donation is to help underwrite the cost of a new composition by David Conte in memory of Nadia Boulanger. The composition is meant to be performed at the AGO Los Angeles 2004 National Convention. Riis also promises two more donations of the same amount.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_026,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540744,,amrc_campbell_1_2_doc22_001.pdf
Don Campbell Papers,E-mail document,,"Unknown, Unknown",author,,,text,1/29/2003,iso8601,,,,English,French,electronic mail,aat,material,reformatted digital,This document appears to be a statement of purpose or advertisement for the International Academy of Music at the Castle of Rangiport.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_027,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540756,,amrc_campbell_1_2_doc24.pdf
Don Campbell Papers,Handwritten Letter: Therese Casadesus Rawson to Don Campbell,,"Casadesus Rawson, Therese",author,,,text,7/18/2003,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Therese Casadesus Rawson thanks Don Campbell for a donation and expresses hope for a ""big Nadia Day"" the next summer session. She also is visiting the University of Colorado.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_028,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540768,,amrc_campbell_1_2.pdf
Don Campbell Papers,Letter: Thomas L. Riis to Dana Gioia,,"Riis, Thomas Laurence",author,,,text,5/5/2004,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Given to Don Campbell for the purpose of his knowledge, Riis' letter to Gioia passes along a request by Don Campbell that Gioia write an introductory statement to be included in the front matter of an archival booklet that would accompany an international symposium and museum exhibition on Nadia Boulanger.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_029,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540780,,amrc_campbell_1_2_doc26.pdf
Don Campbell Papers,Letters: Don Campbell to Nadia Boulanger and Nadia Boulanger to Don Campbell,,"Boulanger, Nadia",author,"Campbell, Don G., 1946- G., 1946-",author,text,1976-02-03/1976-02-13,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Don Campbell proposes and asks Boulanger's blessing to begin a biography of her life and ideas. He is writing from Tokyo and would have to return to the USA to begin such a book. Boulanger is skeptical of the project, thinking it may be unrealistic, but she is touched by the consideration. She asks him to write again once he has more concrete ideas.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_03_001,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540792,,amrc_campbell_1_3_DCNBcorrespondence.pdf
Don Campbell Papers,"Letter: Don Campbell to Nadia Boulanger, Feb. 21, 1976",,"Campbell, Don G., 1946-",author,,,text,2/21/1976,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,Don Campbell offers ideas and a tentative ordering for his proposed biography of Boulanger.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_03_002,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540804,,amrc_campbell_1_3_DCNBcorrespondence.pdf
Don Campbell Papers,"Letter: Nadia Boulanger to Don Campbell, Feb. 24, 1976",,"Boulanger, Nadia",author,,,text,2/24/1976,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Nadia Boulanger states that Campell's proposed biography of her is a worthwhile cause, despite her fear that it may mislead. She doubts that she can help with the project, presumably due to failing health.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_03_003,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540816,,amrc_campbell_1_3_DCNBcorrespondence.pdf
